"Date","NVDA.Close"
2018-01-02,4.9837498664856
2018-01-03,5.31174993515015
2018-01-04,5.33974981307983
2018-01-05,5.38500022888184
2018-01-08,5.55000019073486
2018-01-09,5.54850006103516
2018-01-10,5.59200000762939
2018-01-11,5.60200023651123
2018-01-12,5.57450008392334
2018-01-16,5.50274991989136
2018-01-17,5.61800003051758
2018-01-18,5.61100006103516
2018-01-19,5.75274991989136
2018-01-22,5.84224987030029
2018-01-23,5.97275018692017
2018-01-24,5.89499998092651
2018-01-25,5.90875005722046
2018-01-26,6.08325004577637
2018-01-29,6.1712498664856
2018-01-30,6.06799983978271
2018-01-31,6.14499998092651
2018-02-01,6.01249980926514
2018-02-02,5.83799982070923
2018-02-05,5.34250020980835
2018-02-06,5.6395001411438
2018-02-07,5.71999979019165
2018-02-08,5.43800020217896
2018-02-09,5.80200004577637
2018-02-12,5.70074987411499
2018-02-13,5.81575012207031
2018-02-14,6.03550004959106
2018-02-15,6.16249990463257
2018-02-16,6.09600019454956
2018-02-20,6.22700023651123
2018-02-21,6.03774976730347
2018-02-22,6.05375003814697
2018-02-23,6.14825010299683
2018-02-26,6.16450023651123
2018-02-27,6.15150022506714
2018-02-28,6.05000019073486
2018-03-01,5.80525016784668
2018-03-02,5.91349983215332
2018-03-05,5.8912501335144
2018-03-06,6.05399990081787
2018-03-07,6.0460000038147
2018-03-08,6.02950000762939
2018-03-09,6.13325023651123
2018-03-12,6.24399995803833
2018-03-13,6.19274997711182
2018-03-14,6.2185001373291
2018-03-15,6.2335000038147
2018-03-16,6.26200008392334
2018-03-19,6.02500009536743
2018-03-20,6.23950004577637
2018-03-21,6.21400022506714
2018-03-22,6.0462498664856
2018-03-23,5.82425022125244
2018-03-26,6.11199998855591
2018-03-27,5.63800001144409
2018-03-28,5.53375005722046
2018-03-29,5.78975009918213
2018-04-02,5.52624988555908
2018-04-03,5.63374996185303
2018-04-04,5.6560001373291
2018-04-05,5.53450012207031
2018-04-06,5.35624980926514
2018-04-09,5.38525009155273
2018-04-10,5.69775009155273
2018-04-11,5.6560001373291
2018-04-12,5.86499977111816
2018-04-13,5.78749990463257
2018-04-16,5.78725004196167
2018-04-17,5.93849992752075
2018-04-18,5.90924978256226
2018-04-19,5.72599983215332
2018-04-20,5.71775007247925
2018-04-23,5.59700012207031
2018-04-24,5.53000020980835
2018-04-25,5.41650009155273
2018-04-26,5.63049983978271
2018-04-27,5.6582498550415
2018-04-30,5.62249994277954
2018-05-01,5.67850017547607
2018-05-02,5.65775012969971
2018-05-03,5.82474994659424
2018-05-04,5.97650003433228
2018-05-07,6.21700000762939
2018-05-08,6.26000022888184
2018-05-09,6.39449977874756
2018-05-10,6.50325012207031
2018-05-11,6.36324977874756
2018-05-14,6.38399982452393
2018-05-15,6.13899993896484
2018-05-16,6.15024995803833
2018-05-17,6.19274997711182
2018-05-18,6.14849996566772
2018-05-21,6.10599994659424
